city,cbsa,city_name
"Aberdeen, SD Micro Area",10100,"Aberdeen, SD"
"Aberdeen, WA Micro Area",10140,"Aberdeen, WA"
"Abilene, TX Metro Area",10180,"Abilene, TX"
"Ada, OK Micro Area",10220,"Ada, OK"
"Adrian, MI Micro Area",10300,"Adrian, MI"
"Akron, OH Metro Area",10420,"Akron, OH"
"Alamogordo, NM Micro Area",10460,"Alamogordo, NM"
"Albany, GA Metro Area",10500,"Albany, GA"
"Albany, OR Metro Area",10540,"Albany, OR"
"Albany-Schenectady-Troy, NY Metro Area",10580,"Albany-Schenectady-Troy, NY"
"Albemarle, NC Micro Area",10620,"Albemarle, NC"
"Albert Lea, MN Micro Area",10660,"Albert Lea, MN"
"Albertville, AL Micro Area",10700,"Albertville, AL"
"Albuquerque, NM Metro Area",10740,"Albuquerque, NM"
"Alexander City, AL Micro Area",10760,"Alexander City, AL"
"Alexandria, LA Metro Area",10780,"Alexandria, LA"
"Alexandria, MN Micro Area",10820,"Alexandria, MN"
"Alice, TX Micro Area",10860,"Alice, TX"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,"Allentown-Bethlehem-Easton, PA-NJ"
"Alma, MI Micro Area",10940,"Alma, MI"
"Alpena, MI Micro Area",10980,"Alpena, MI"
"Altoona, PA Metro Area",11020,"Altoona, PA"
"Altus, OK Micro Area",11060,"Altus, OK"
"Amarillo, TX Metro Area",11100,"Amarillo, TX"
"Americus, GA Micro Area",11140,"Americus, GA"
"Ames, IA Metro Area",11180,"Ames, IA"
"Amsterdam, NY Micro Area",11220,"Amsterdam, NY"
"Anchorage, AK Metro Area",11260,"Anchorage, AK"
"Andrews, TX Micro Area",11380,"Andrews, TX"
"Angola, IN Micro Area",11420,"Angola, IN"
"Ann Arbor, MI Metro Area",11460,"Ann Arbor, MI"
"Anniston-Oxford-Jacksonville, AL Metro Area",11500,"Anniston-Oxford-Jacksonville, AL"
"Appleton, WI Metro Area",11540,"Appleton, WI"
"Arcadia, FL Micro Area",11580,"Arcadia, FL"
"Ardmore, OK Micro Area",11620,"Ardmore, OK"
"Arkadelphia, AR Micro Area",11660,"Arkadelphia, AR"
"Arkansas City-Winfield, KS Micro Area",11680,"Arkansas City-Winfield, KS"
"Asheville, NC Metro Area",11700,"Asheville, NC"
"Ashland, OH Micro Area",11740,"Ashland, OH"
"Ashtabula, OH Micro Area",11780,"Ashtabula, OH"
"Astoria, OR Micro Area",11820,"Astoria, OR"
"Atchison, KS Micro Area",11860,"Atchison, KS"
"Athens, OH Micro Area",11900,"Athens, OH"
"Athens, TN Micro Area",11940,"Athens, TN"
"Athens, TX Micro Area",11980,"Athens, TX"
"Athens-Clarke County, GA Metro Area",12020,"Athens-Clarke County, GA"
"Atlanta-Sandy Springs-Roswell, GA Metro Area",12060,"Atlanta-Sandy Springs-Roswell, GA"
"Atlantic City-Hammonton, NJ Metro Area",12100,"Atlantic City-Hammonton, NJ"
"Atmore, AL Micro Area",12120,"Atmore, AL"
"Auburn, IN Micro Area",12140,"Auburn, IN"
"Auburn, NY Micro Area",12180,"Auburn, NY"
"Auburn-Opelika, AL Metro Area",12220,"Auburn-Opelika, AL"
"Augusta-Richmond County, GA-SC Metro Area",12260,"Augusta-Richmond County, GA-SC"
"Augusta-Waterville, ME Micro Area",12300,"Augusta-Waterville, ME"
"Austin, MN Micro Area",12380,"Austin, MN"
"Austin-Round Rock, TX Metro Area",12420,"Austin-Round Rock, TX"
"Bainbridge, GA Micro Area",12460,"Bainbridge, GA"
"Bakersfield, CA Metro Area",12540,"Bakersfield, CA"
"Baltimore-Columbia-Towson, MD Metro Area",12580,"Baltimore-Columbia-Towson, MD"
"Bangor, ME Metro Area",12620,"Bangor, ME"
"Baraboo, WI Micro Area",12660,"Baraboo, WI"
"Bardstown, KY Micro Area",12680,"Bardstown, KY"
"Barnstable Town, MA Metro Area",12700,"Barnstable Town, MA"
"Barre, VT Micro Area",12740,"Barre, VT"
"Bartlesville, OK Micro Area",12780,"Bartlesville, OK"
"Bastrop, LA Micro Area",12820,"Bastrop, LA"
"Batavia, NY Micro Area",12860,"Batavia, NY"
"Batesville, AR Micro Area",12900,"Batesville, AR"
"Baton Rouge, LA Metro Area",12940,"Baton Rouge, LA"
"Battle Creek, MI Metro Area",12980,"Battle Creek, MI"
"Bay City, MI Metro Area",13020,"Bay City, MI"
"Bay City, TX Micro Area",13060,"Bay City, TX"
"Beatrice, NE Micro Area",13100,"Beatrice, NE"
"Beaumont-Port Arthur, TX Metro Area",13140,"Beaumont-Port Arthur, TX"
"Beaver Dam, WI Micro Area",13180,"Beaver Dam, WI"
"Beckley, WV Metro Area",13220,"Beckley, WV"
"Bedford, IN Micro Area",13260,"Bedford, IN"
"Beeville, TX Micro Area",13300,"Beeville, TX"
"Bellefontaine, OH Micro Area",13340,"Bellefontaine, OH"
"Bellingham, WA Metro Area",13380,"Bellingham, WA"
"Bemidji, MN Micro Area",13420,"Bemidji, MN"
"Bend-Redmond, OR Metro Area",13460,"Bend-Redmond, OR"
"Bennettsville, SC Micro Area",13500,"Bennettsville, SC"
"Bennington, VT Micro Area",13540,"Bennington, VT"
"Berlin, NH-VT Micro Area",13620,"Berlin, NH-VT"
"Big Rapids, MI Micro Area",13660,"Big Rapids, MI"
"Big Spring, TX Micro Area",13700,"Big Spring, TX"
"Big Stone Gap, VA Micro Area",13720,"Big Stone Gap, VA"
"Billings, MT Metro Area",13740,"Billings, MT"
"Binghamton, NY Metro Area",13780,"Binghamton, NY"
"Birmingham-Hoover, AL Metro Area",13820,"Birmingham-Hoover, AL"
"Bismarck, ND Metro Area",13900,"Bismarck, ND"
"Blackfoot, ID Micro Area",13940,"Blackfoot, ID"
"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,"Blacksburg-Christiansburg-Radford, VA"
"Bloomington, IL Metro Area",14010,"Bloomington, IL"
"Bloomington, IN Metro Area",14020,"Bloomington, IN"
"Bloomsburg-Berwick, PA Metro Area",14100,"Bloomsburg-Berwick, PA"
"Bluefield, WV-VA Micro Area",14140,"Bluefield, WV-VA"
"Blytheville, AR Micro Area",14180,"Blytheville, AR"
"Bogalusa, LA Micro Area",14220,"Bogalusa, LA"
"Boise City, ID Metro Area",14260,"Boise City, ID"
"Bonham, TX Micro Area",14300,"Bonham, TX"
"Boone, IA Micro Area",14340,"Boone, IA"
"Boone, NC Micro Area",14380,"Boone, NC"
"Borger, TX Micro Area",14420,"Borger, TX"
"Boston-Cambridge-Newton, MA-NH Metro Area",14460,"Boston-Cambridge-Newton, MA-NH"
"Boulder, CO Metro Area",14500,"Boulder, CO"
"Bowling Green, KY Metro Area",14540,"Bowling Green, KY"
"Bozeman, MT Micro Area",14580,"Bozeman, MT"
"Bradford, PA Micro Area",14620,"Bradford, PA"
"Brainerd, MN Micro Area",14660,"Brainerd, MN"
"Branson, MO Micro Area",14700,"Branson, MO"
"Breckenridge, CO Micro Area",14720,"Breckenridge, CO"
"Bremerton-Silverdale, WA Metro Area",14740,"Bremerton-Silverdale, WA"
"Brenham, TX Micro Area",14780,"Brenham, TX"
"Brevard, NC Micro Area",14820,"Brevard, NC"
"Bridgeport-Stamford-Norwalk, CT Metro Area",14860,"Bridgeport-Stamford-Norwalk, CT"
"Brookhaven, MS Micro Area",15020,"Brookhaven, MS"
"Brookings, OR Micro Area",15060,"Brookings, OR"
"Brookings, SD Micro Area",15100,"Brookings, SD"
"Brownsville, TN Micro Area",15140,"Brownsville, TN"
"Brownsville-Harlingen, TX Metro Area",15180,"Brownsville-Harlingen, TX"
"Brownwood, TX Micro Area",15220,"Brownwood, TX"
"Brunswick, GA Metro Area",15260,"Brunswick, GA"
"Bucyrus, OH Micro Area",15340,"Bucyrus, OH"
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
"Burley, ID Micro Area",15420,"Burley, ID"
"Burlington, IA-IL Micro Area",15460,"Burlington, IA-IL"
"Burlington, NC Metro Area",15500,"Burlington, NC"
"Burlington-South Burlington, VT Metro Area",15540,"Burlington-South Burlington, VT"
"Butte-Silver Bow, MT Micro Area",15580,"Butte-Silver Bow, MT"
"Cadillac, MI Micro Area",15620,"Cadillac, MI"
"Calhoun, GA Micro Area",15660,"Calhoun, GA"
"California-Lexington Park, MD Metro Area",15680,"California-Lexington Park, MD"
"Cambridge, MD Micro Area",15700,"Cambridge, MD"
"Cambridge, OH Micro Area",15740,"Cambridge, OH"
"Camden, AR Micro Area",15780,"Camden, AR"
"Campbellsville, KY Micro Area",15820,"Campbellsville, KY"
"Cañon City, CO Micro Area",15860,"Cañon City, CO"
"Canton, IL Micro Area",15900,"Canton, IL"
"Canton-Massillon, OH Metro Area",15940,"Canton-Massillon, OH"
"Cape Coral-Fort Myers, FL Metro Area",15980,"Cape Coral-Fort Myers, FL"
"Cape Girardeau, MO-IL Metro Area",16020,"Cape Girardeau, MO-IL"
"Carbondale-Marion, IL Metro Area",16060,"Carbondale-Marion, IL"
"Carlsbad-Artesia, NM Micro Area",16100,"Carlsbad-Artesia, NM"
"Carroll, IA Micro Area",16140,"Carroll, IA"
"Carson City, NV Metro Area",16180,"Carson City, NV"
"Casper, WY Metro Area",16220,"Casper, WY"
"Cedar City, UT Micro Area",16260,"Cedar City, UT"
"Cedar Rapids, IA Metro Area",16300,"Cedar Rapids, IA"
"Cedartown, GA Micro Area",16340,"Cedartown, GA"
"Celina, OH Micro Area",16380,"Celina, OH"
"Central City, KY Micro Area",16420,"Central City, KY"
"Centralia, IL Micro Area",16460,"Centralia, IL"
"Centralia, WA Micro Area",16500,"Centralia, WA"
"Chambersburg-Waynesboro, PA Metro Area",16540,"Chambersburg-Waynesboro, PA"
"Champaign-Urbana, IL Metro Area",16580,"Champaign-Urbana, IL"
"Charleston, WV Metro Area",16620,"Charleston, WV"
"Charleston-Mattoon, IL Micro Area",16660,"Charleston-Mattoon, IL"
"Charleston-North Charleston, SC Metro Area",16700,"Charleston-North Charleston, SC"
"Charlotte-Concord-Gastonia, NC-SC Metro Area",16740,"Charlotte-Concord-Gastonia, NC-SC"
"Charlottesville, VA Metro Area",16820,"Charlottesville, VA"
"Chattanooga, TN-GA Metro Area",16860,"Chattanooga, TN-GA"
"Cheyenne, WY Metro Area",16940,"Cheyenne, WY"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",16980,"Chicago-Naperville-Elgin, IL-IN-WI"
"Chico, CA Metro Area",17020,"Chico, CA"
"Chillicothe, OH Micro Area",17060,"Chillicothe, OH"
"Cincinnati, OH-KY-IN Metro Area",17140,"Cincinnati, OH-KY-IN"
"Claremont-Lebanon, NH-VT Micro Area",17200,"Claremont-Lebanon, NH-VT"
"Clarksburg, WV Micro Area",17220,"Clarksburg, WV"
"Clarksdale, MS Micro Area",17260,"Clarksdale, MS"
"Clarksville, TN-KY Metro Area",17300,"Clarksville, TN-KY"
"Clearlake, CA Micro Area",17340,"Clearlake, CA"
"Cleveland, MS Micro Area",17380,"Cleveland, MS"
"Cleveland, TN Metro Area",17420,"Cleveland, TN"
"Cleveland-Elyria, OH Metro Area",17460,"Cleveland-Elyria, OH"
"Clewiston, FL Micro Area",17500,"Clewiston, FL"
"Clinton, IA Micro Area",17540,"Clinton, IA"
"Clovis, NM Micro Area",17580,"Clovis, NM"
"Coeur d'Alene, ID Metro Area",17660,"Coeur d'Alene, ID"
"Coffeyville, KS Micro Area",17700,"Coffeyville, KS"
"Coldwater, MI Micro Area",17740,"Coldwater, MI"
"College Station-Bryan, TX Metro Area",17780,"College Station-Bryan, TX"
"Colorado Springs, CO Metro Area",17820,"Colorado Springs, CO"
"Columbia, MO Metro Area",17860,"Columbia, MO"
"Columbia, SC Metro Area",17900,"Columbia, SC"
"Columbus, GA-AL Metro Area",17980,"Columbus, GA-AL"
"Columbus, IN Metro Area",18020,"Columbus, IN"
"Columbus, MS Micro Area",18060,"Columbus, MS"
"Columbus, NE Micro Area",18100,"Columbus, NE"
"Columbus, OH Metro Area",18140,"Columbus, OH"
"Concord, NH Micro Area",18180,"Concord, NH"
"Connersville, IN Micro Area",18220,"Connersville, IN"
"Cookeville, TN Micro Area",18260,"Cookeville, TN"
"Coos Bay, OR Micro Area",18300,"Coos Bay, OR"
"Cordele, GA Micro Area",18380,"Cordele, GA"
"Corinth, MS Micro Area",18420,"Corinth, MS"
"Cornelia, GA Micro Area",18460,"Cornelia, GA"
"Corning, NY Micro Area",18500,"Corning, NY"
"Corpus Christi, TX Metro Area",18580,"Corpus Christi, TX"
"Corsicana, TX Micro Area",18620,"Corsicana, TX"
"Cortland, NY Micro Area",18660,"Cortland, NY"
"Corvallis, OR Metro Area",18700,"Corvallis, OR"
"Coshocton, OH Micro Area",18740,"Coshocton, OH"
"Craig, CO Micro Area",18780,"Craig, CO"
"Crawfordsville, IN Micro Area",18820,"Crawfordsville, IN"
"Crescent City, CA Micro Area",18860,"Crescent City, CA"
"Crestview-Fort Walton Beach-Destin, FL Metro Area",18880,"Crestview-Fort Walton Beach-Destin, FL"
"Crossville, TN Micro Area",18900,"Crossville, TN"
"Cullman, AL Micro Area",18980,"Cullman, AL"
