cbsa,cfips
,
33860,1001
19300,1003
13820,1007
13820,1009
11500,1015
46740,1017
13820,1021
21460,1031
22520,1033
45180,1037
18980,1043
37120,1045
42820,1047
33860,1051
23460,1055
20020,1061
46220,1065
20020,1067
20020,1069
42460,1071
13820,1073
22520,1077
19460,1079
12220,1081
26620,1083
33860,1085
26620,1089
10700,1095
33660,1097
33860,1101
19460,1103
46220,1107
45980,1109
17980,1113
13820,1115
13820,1117
45180,1121
46220,1125
13820,1127
11260,2020
21820,2090
27940,2110
28540,2130
11260,2170
43420,4003
22380,4005
37740,4007
40940,4009
38060,4013
29420,4015
43320,4017
46060,4019
38060,4021
35700,4023
39140,4025
49740,4027
34260,5005
22220,5007
25460,5009
15780,5013
11660,5019
38220,5025
31620,5027
27860,5031
22900,5033
32820,5035
30780,5045
26300,5051
30780,5053
37500,5055
31680,5059
12900,5063
38220,5069
38220,5079
45500,5081
30780,5085
22220,5087
45500,5091
14180,5093
25460,5101
15780,5103
30780,5105
25760,5107
27860,5111
40780,5115
30780,5119
22620,5123
30780,5125
22900,5131
20980,5139
22220,5143
42620,5145
40780,5149
41860,6001
17020,6007
41860,6013
18860,6015
40900,6017
23420,6019
21700,6023
20940,6025
12540,6029
25260,6031
17340,6033
45000,6035
31080,6037
31460,6039
41860,6041
46380,6045
32900,6047
41500,6053
34900,6055
46020,6057
31080,6059
40900,6061
40140,6065
40900,6067
41940,6069
40140,6071
41740,6073
41860,6075
44700,6077
42020,6079
41860,6081
42200,6083
41940,6085
42100,6087
39820,6089
46700,6095
42220,6097
33700,6099
49700,6101
39780,6103
47300,6107
43760,6109
37100,6111
40900,6113
49700,6115
19740,8001
19740,8005
14500,8013
19740,8014
19740,8019
19740,8031
19740,8035
20780,8037
19740,8039
17820,8041
15860,8043
24060,8045
19740,8047
19740,8059
20420,8067
22660,8069
44540,8075
24300,8077
18780,8081
33940,8085
22820,8087
19740,8093
24060,8097
39380,8101
44460,8107
14720,8117
17820,8119
24540,8123
14860,9001
25540,9003
45860,9005
25540,9007
35300,9009
35980,9011
25540,9013
49340,9015
20100,10001
37980,10003
41540,10005
47900,11001
23540,12001
27260,12003
37460,12005
37340,12009
33100,12011
39460,12015
26140,12017
27260,12019
34940,12021
29380,12023
11580,12027
27260,12031
37860,12033
19660,12035
45220,12039
23540,12041
37460,12045
48100,12049
17500,12051
45300,12053
42700,12055
45300,12057
42680,12061
45220,12065
36740,12069
15980,12071
45220,12073
35840,12081
36100,12083
38940,12085
33100,12086
28580,12087
27260,12089
18880,12091
36380,12093
36740,12095
36740,12097
33100,12099
45300,12101
45300,12103
29460,12105
37260,12107
27260,12109
38940,12111
37860,12113
35840,12115
36740,12117
45540,12119
19660,12127
45220,12129
18880,12131
10500,13007
33300,13009
12060,13013
12060,13015
22340,13017
31420,13021
15260,13025
46660,13027
42340,13029
44340,13031
12260,13033
12060,13035
41220,13039
12060,13045
16860,13047
42340,13051
17980,13053
44900,13055
12060,13057
12020,13059
12060,13063
12060,13067
20060,13069
34220,13071
12260,13073
12060,13077
31420,13079
18380,13081
16860,13083
12060,13085
12460,13087
12060,13089
10500,13095
12060,13097
46660,13101
42340,13103
12060,13113
40660,13115
12060,13117
12060,13121
15260,13127
15660,13129
12060,13135
18460,13137
23580,13139
33300,13141
12060,13143
17980,13145
12060,13149
12060,13151
47580,13153
27600,13157
12060,13159
20140,13167
31420,13169
12060,13171
46660,13173
20140,13175
10500,13177
25980,13179
12260,13181
25980,13183
46660,13185
12260,13189
15260,13191
12020,13195
17980,13197
12060,13199
31420,13207
47080,13209
12060,13211
19140,13213
17980,13215
12060,13217
12020,13219
12020,13221
12060,13223
47580,13225
12060,13227
48180,13229
12060,13231
16340,13233
47580,13235
12260,13245
12060,13247
11140,13249
12060,13255
45740,13257
11140,13261
10500,13273
45620,13275
45700,13277
47080,13279
29300,13285
31420,13289
45580,13293
16860,13295
12060,13297
48180,13299
27700,13305
19140,13313
10500,13321
25900,15001
46520,15003
27980,15005
28180,15007
27980,15009
14260,16001
38540,16005
13940,16011
25200,16013
14260,16015
41760,16017
26820,16019
26820,16023
25200,16025
14260,16027
15420,16031
34300,16039
30860,16041
39940,16043
14260,16045
26820,16051
46300,16053
17660,16055
34140,16057
25200,16063
39940,16065
15420,16067
30300,16069
14260,16073
36620,16075
27220,16081
46300,16083
39500,17001
16020,17003
41180,17005
40420,17007
36860,17011
41180,17013
16580,17019
45380,17021
41180,17027
16660,17029
16980,17031
16660,17035
16980,17037
14010,17039
16980,17043
20820,17049
16580,17053
15900,17057
16980,17063
22800,17067
15460,17071
19340,17073
16060,17077
34500,17081
41180,17083
16980,17089
28100,17091
16980,17093
23660,17095
16980,17097
36860,17099
19940,17103
38700,17105
30660,17107
31380,17109
16980,17111
14010,17113
19500,17115
41180,17117
41180,17119
16460,17121
37900,17123
37140,17127
44100,17129
19340,17131
41180,17133
27300,17137
40300,17141
37900,17143
16580,17147
36860,17155
19340,17161
41180,17163
44100,17167
27300,17171
37900,17175
23300,17177
37900,17179
19180,17183
44580,17195
16980,17197
16060,17199
40420,17201
37900,17203
19540,18001
23060,18003
18020,18005
29200,18007
26900,18011
26900,18013
29200,18015
30900,18017
31140,18019
45460,18021
23140,18023
47780,18027
17140,18029
24700,18031
12140,18033
34620,18035
27540,18037
21140,18039
18220,18041
31140,18043
31980,18053
26900,18057
26900,18059
31140,18061
26900,18063
35220,18065
29020,18067
26540,18069
42980,18071
16980,18073
31500,18077
35860,18079
26900,18081
47180,18083
47700,18085
16980,18089
33140,18091
13260,18093
26900,18095
26900,18097
38500,18099
37940,18103
14020,18105
18820,18107
26900,18109
16980,18111
28340,18113
17140,18115
14020,18119
27540,18125
16980,18127
21780,18129
26900,18133
43780,18141
31140,18143
26900,18145
11420,18151
45460,18153
29200,18157
17140,18161
21780,18163
45460,18165
45460,18167
47340,18169
21780,18173
31140,18175
39980,18177
23060,18179
23060,18183
16300,19011
47940,19013
14340,19015
47940,19017
44740,19021
32380,19033
43980,19041
17540,19045
19780,19049
36900,19051
