cbsa,city_name,month,pop19,vd,havd,change_medinc_1619,prosp19_ui,recovery19_ui,unemp_percent,com_vac,rev_dec,spend_all
10100,"Aberdeen, SD",1,42824,1.5366645,0.370181471,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",2,42824,1.5169214,0.345502704,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",3,42824,1.5202119,0.33069545,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",4,42824,1.4988236,0.347147971,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",5,42824,1.4988236,0.355374217,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",6,42824,1.4823712,0.322469175,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",7,42824,1.4905974,0.312597662,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",8,42824,1.4905974,0.302726179,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",9,42824,1.4971784,0.306016684,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",10,42824,1.4840164,0.25665915,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",11,42824,1.4823711,0.243497148,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10100,"Aberdeen, SD",12,42824,1.4724996,0.241851896,5588,58.515766,-9.2899446,",,",",,",",,",",,"
10140,"Aberdeen, WA",1,72779,3.3278131,0.773777246,6719,38.186752,14.73326,",,",",,",",,",",,"
10140,"Aberdeen, WA",2,72779,3.2164578,0.710961342,6719,38.186752,14.73326,",,",",,",",,",",,"
10140,"Aberdeen, WA",3,72779,3.2949777,0.70667851,6719,38.186752,14.73326,",,",",,",",,",",,"
10140,"Aberdeen, WA",4,72779,3.3021157,0.755218029,6719,38.186752,14.73326,",,",",,",",,",",,"
10140,"Aberdeen, WA",5,72779,3.2978327,0.735231102,6719,38.186752,14.73326,",,",",,",",,",",,"
10140,"Aberdeen, WA",6,72779,3.145076,0.685263991,6719,38.186752,14.73326,",,",",,",",,",",,"
10140,"Aberdeen, WA",7,72779,3.1136682,0.662421823,6719,38.186752,14.73326,",,",",,",",,",",,"
