cbsa,city_name,q418_venturedensity,q119_venturedensity,q219_venturedensity,q319_venturedensity,q419_venturedensity,q120_venturedensity,q220_venturedensity,q320_venturedensity,q420_venturedensity,q418_highlyactiveventuredensity,q119_highlyactiveventuredensity,q219_highlyactiveventuredensity,q319_highlyactiveventuredensity,q419_highlyactiveventuredensity,q120_highlyactiveventuredensity,q220_highlyactiveventuredensity,q320_highlyactiveventuredensity,q420_highlyactiveventuredensity,prosperity11,prosperity19,recovery,medinc16,medinc17,medinc18,medinc19,change_medinc_1619,pct_black,pct_hisp,pct_native,pct_asian,pct_pacific,pct_white
10100,"Aberdeen, SD",1.555650591850281,1.6107007,1.5500782,1.5459203,1.5761504,1.5245993,1.4933395,1.4927911,1.479629,.3487932122916702,.32740495,.32598209,.35009813,.51989931,.34879321,.34166378,.3071135,.24733606,67.80571089850531,58.515766,-9.2899446,53682,54533,57184,59270,5588,1.9848683,2.8932374,3.0893891,2.734448,0,87.941338
10140,"Aberdeen, WA",3.463523864746094,3.3335238,3.2764182,3.2628558,3.2830806,3.2797496,3.2483416,3.1366725,3.0818419,.6981127119350141,.71524429,.71381664,.72595149,1.0643005,.73047239,.72523773,.66700149,.57885945,23.45349232967083,38.186752,14.73326,44521,45483,47770,51240,6719,1.1170805,9.9561691,3.8403935,1.5059289,.27480453,79.411644
10180,"Abilene, TX",2.010670185089111,2.0088737,1.9947356,2.1216025,2.2302611,2.2375515,2.1672282,2.2566512,2.2434804,.4233147333749163,.44493788,.46240276,.52311778,.82373273,.55003715,.51241523,.48745996,.40233469,37.30807511011759,37.603764,.29568848,46473,48156,49945,52511,6038,7.9053607,23.573114,.38847125,1.7765383,.02343718,64.192093
10220,"Ada, OK",1.88679850101471,2.0907111,2.0804956,2.0821981,2.0816309,2.0708482,2.0680106,2.0600653,2.0254474,.3336965128132661,.36774719,.35582948,.34050667,.49203214,.33823663,.33312902,.32915646,.26673025,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10300,"Adrian, MI",4.293354511260986,4.4503384,4.5476665,4.6287737,4.712584,4.6982551,4.7233982,4.7074471,4.6925778,.9588762897771281,.92624134,.9246192,.93921846,1.4554641,1.018433,1.0730449,1.0708821,.92786348,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
10380,"Aguadilla-Isabela, PR",,.2841762,.30553171,.28259039,.27332225,.29418439,.31575134,.39313862,.42936546,,.040173721,.041442364,.044402532,.068506762,.047433179,.04327485,.038270753,.033619061,,,,,15769,16369,16470,,.090333335,96.823387,.020922795,.033875,.0039852941,2.5359757
10420,"Akron, OH",4.072329044342041,4.2017479,4.1574292,4.1742659,4.1858149,4.1855421,4.2320781,4.2377758,4.2350097,.8912797960453294,.91666311,.91737956,.94798273,1.4345634,.98192948,.9563756,.91291016,.79063237,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10460,"Alamogordo, NM",2.559762954711914,2.3538132,2.3608711,2.3185234,2.3114657,2.1403112,2.1014929,2.0920823,2.0338545,.568161746737481,.58404207,.63521194,.61315596,.89723682,.5975697,.57580781,.52934325,.44111937,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10500,"Albany, GA",.9769183993339539,1.1249144,1.1203041,1.1164031,1.122432,1.1275462,1.1666584,1.2473403,1.3499136,.2311354796945177,.23051526,.23299773,.23654412,.35162443,.24918015,.24431644,.23168181,.22136554,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10540,"Albany-Lebanon, OR",3.490268468856812,3.4926174,3.5550337,3.5912752,3.5847874,3.5845637,3.6152124,3.6306489,3.5718122,.7604026084167787,.7671141,.77718121,.81677854,1.2255033,.84630871,.83557045,.8020134,.66577184,51.34278213977814,47.041363,-4.3014193,46782,49515,52097,55893,9111,.49261084,9.1109018,.70692855,1.0475978,.09836223,84.913795
10580,"Albany-Schenectady-Troy, NY",3.735748052597046,3.9577422,3.9488955,3.9323311,3.9390759,3.9076726,3.9111238,3.9365976,3.8926578,.8803562208943958,.91404909,.90981388,.93574274,1.3953084,.96148324,.93927199,.89902198,.76774049,67.40569288080388,55.255795,-12.149899,63758,65743,68651,71285,7527,7.1953459,5.1586399,.1365903,4.3335347,.027249936,79.702774
10620,"Albemarle, NC",2.656521797180176,2.6473219,3.0283318,3.3239629,3.3880453,3.422894,3.4461262,3.4813619,3.4670353,.5180805408133633,.51459569,.52505022,.54770172,.81022686,.57422531,.55525225,.5362792,.42708731,34.50838128003207,44.689831,10.18145,44140,46017,49590,52623,8483,11.193739,4.2053647,.11852958,1.792557,0,80.822563
