cfips,county,state,q418_venturedensity,q119_venturedensity,q219_venturedensity,q319_venturedensity,q419_venturedensity,q120_venturedensity,q220_venturedensity,q320_venturedensity,q420_venturedensity,q418_highlyactiveventuredensity,q119_highlyactiveventuredensity,q219_highlyactiveventuredensity,q319_highlyactiveventuredensity,q419_highlyactiveventuredensity,q120_highlyactiveventuredensity,q220_highlyactiveventuredensity,q320_highlyactiveventuredensity,q420_highlyactiveventuredensity,prosperity11,prosperity19,recovery,medinc16,medinc17,medinc18,medinc19,change_medinc1819,perc_black,perc_hisp,perc_native,perc_asian,perc_white
1001,Autauga,AL,2.1290123462677,.3960108160972595,.405093640089035,.40055221,.400855,.41175437,.41902062,.3923777,.3863225,.4396083354949951,.0908281728625298,.0944612994790077,.08901161,.08780057,.09325026,.097488903,.096277863,.092644736,60.405155,61.449558,1.0444031,53099,55317,58786,58731,-55,19,2.825929938605995,.3,1,76.8
1003,Baldwin,AL,5.377675533294678,5.733046054840088,5.84080982208252,5.9871683,6.102284,6.1978512,6.423738,6.8385878,6.8731728,1.206957101821899,1.265600681304932,1.27311909198761,1.3575761,1.3598316,1.3924114,1.3927456,1.3613353,1.1548294,58.917511,63.288414,4.370903,51365,52562,55962,58320,2358,9.300000000000001,4.562796598223935,.8,.9,86.2
1005,Barbour,AL,.7101525664329529,.2592620551586151,.3456827104091644,.40580145,.35945994,.36446983,.33441046,.31687585,.32564315,.1578116863965988,.0713909938931465,.0901781022548676,.10708649,.098945417,.10395531,.096440472,.08266326,.068886049,18.241608,22.215981,3.9743729,33956,33368,34186,32525,-1661,47.6,4.357083711210126,.3,.5,46.8
1007,Bibb,AL,1.001240491867065,.1461988240480423,.1727804392576218,.1772107,.17868745,.1905015,.23332742,.25104851,.25990903,.1727804392576218,.0221513379365206,.0177210699766874,.015505936,.013290803,.022151338,.033965386,.031011874,.023628093,24.491158,31.913254,7.4220963,39776,43404,45340,47542,2202,22.3,2.57413417507669,.1,.1,76.8
1009,Blount,AL,1.159365057945252,.1109108552336693,.1161098033189774,.11870928,.11899811,.12304173,.12015343,.11437682,.11495448,.291141003370285,.02946069650352,.0277277138084173,.030327186,.030038357,.028305374,.027150054,.023106428,.019062804,37.088326,43.418961,6.3306351,46212,47412,48695,49358,663,1.6,9.261281877914739,.1,.4,95.5
1013,Butler,AL,.4783037602901459,.1183431968092918,.1134122312068939,.1183432,.11176857,.11669954,.11669954,.12820514,.12491782,.0986193343997002,.009861933067441,.009861933067441,.0098619331,.0098619331,.0065746219,.0098619331,.0098619331,.0049309665,17.026619,32.479408,15.452789,34315,36326,39109,40688,1579,45.4,1.397014323179342,.1,.3,51.8
1015,Calhoun,AL,2.013237476348877,1.373799443244934,1.580904841423035,1.549839,1.5650843,1.6203125,1.6531041,1.6522412,1.6574188,.5626364350318909,.3356834053993225,.4539060890674591,.44053054,.43981141,.47202784,.46167254,.44556436,.38199449,29.528114,35.153473,5.6253586,41954,43686,45197,47255,2058,20.8,3.796960337817795,.3,.9,73.7
1017,Chambers,AL,1.413957357406616,.8995237946510315,.9494973421096802,.84514081,.84269112,.84563076,.84563076,.85248983,1.0886394,.2880827784538269,.2410488575696945,.2381092309951782,.22341114,.22733063,.23222999,.23125012,.21557215,.18911557,24.10849,42.54866,18.44017,36027,37342,39872,42289,2417,39.6,2.3767082590612,.3,1.1,57.7
1019,Cherokee,AL,.8495192527770996,.5637718439102173,.5560489892959595,.56570256,.55862325,.54446459,.539316,.57278192,.61397076,.1814882010221481,.1235664337873459,.1081206351518631,.12163571,.12614073,.12356643,.11841784,.12485359,.10812064,32.151825,23.951897,-8.1999283,38925,40041,41014,41919,905,4.6,1.594409913909586,1.1,.2,92.90000000000001
1021,Chilton,AL,1.015587568283081,.999612033367157,1.042974233627319,1.040692,1.0802504,1.0680786,1.0985081,1.0924222,1.037649,.1597553491592407,.1574731320142746,.1620375663042069,.17344865,.18257754,.22517897,.22822192,.21224639,.16736275,29.575943,40.817425,11.241482,42594,43501,45182,47468,2286,9.199999999999999,7.847009420043127,.8,.4,83.59999999999999
