cbsa,city_name,month,year,month_year,com_vac,rev_dec,spend_all,vd,havd,pop19,prosp19_ui,recovery19_ui,unemp_percent,change_medinc_1619
10180,"Abilene, TX",10,2019,102019,,,,2.237327098846436,.5451613068580627,170669,37.603764,.29568848,3,6038
10180,"Abilene, TX",10,2020,102020,,,,2.235162019729614,.4392130672931671,170669,37.603764,.29568848,5.1,6038
10180,"Abilene, TX",11,2018,112018,,,,2.010670185089111,.4233147333749163,170669,37.603764,.29568848,3.2,6038
10180,"Abilene, TX",11,2019,112019,,,,2.223963022232056,.5470045804977417,170669,37.603764,.29568848,3,6038
10180,"Abilene, TX",11,2020,112020,,,,2.246392011642456,.3843114376068115,170669,37.603764,.29568848,6.2,6038
10180,"Abilene, TX",1,2019,12019,,,,2.008873701095581,.4449378848075867,170669,37.603764,.29568848,3.2,6038
10180,"Abilene, TX",1,2020,12020,,,,2.321198225021362,.5875576138496399,170669,37.603764,.29568848,3,6038
10180,"Abilene, TX",12,2019,122019,,,,2.229493141174316,.5552995204925537,170669,37.603764,.29568848,3,6038
10180,"Abilene, TX",2,2020,22020,,,,2.293548345565796,.5663594603538513,170669,37.603764,.29568848,3,6038
10180,"Abilene, TX",3,2020,32020,,,,2.097907781600952,.4961943328380585,170669,37.603764,.29568848,4.4,6038
10180,"Abilene, TX",4,2019,42019,,,,1.994735598564148,.4624027609825134,170669,37.603764,.29568848,3,6038
10180,"Abilene, TX",4,2020,42020,,,,2.133261203765869,.5257247090339661,170669,37.603764,.29568848,9.5,6038
10180,"Abilene, TX",5,2020,52020,,,,2.13034987449646,.5228133201599121,170669,37.603764,.29568848,9.1,6038
10180,"Abilene, TX",6,2020,62020,,,,2.238073348999023,.4887077212333679,170669,37.603764,.29568848,6,6038
10180,"Abilene, TX",7,2020,72020,,,,2.262612819671631,.4920350909233093,170669,37.603764,.29568848,5.9,6038
10180,"Abilene, TX",8,2019,82019,,,,2.015555381774902,.5107516050338745,170669,37.603764,.29568848,2.9,6038
10180,"Abilene, TX",8,2020,82020,,,,2.263860464096069,.491619199514389,170669,37.603764,.29568848,4.9,6038
10180,"Abilene, TX",9,2019,92019,,,,2.227649927139282,.5354838967323303,170669,37.603764,.29568848,2.9,6038
10180,"Abilene, TX",9,2020,92020,,,,2.243480443954468,.4787256121635437,170669,37.603764,.29568848,6,6038
10380,"Adrian, MI",10,2019,102019,,,,.2771986722946167,.0456711761653423,301107,54.187447,-1.2860708,10.8,
10380,"Adrian, MI",10,2020,102020,,,,.420978307723999,.0372135490179062,301107,54.187447,-1.2860708,9.5,
10380,"Adrian, MI",11,2018,112018,,,,.420978307723999,.0372135490179062,301107,54.187447,-1.2860708,11.1,
10380,"Adrian, MI",11,2019,112019,,,,.2740270495414734,.0482084639370441,301107,54.187447,-1.2860708,11.2,
10380,"Adrian, MI",11,2020,112020,,,,.4353562593460083,.0327732972800732,301107,54.187447,-1.2860708,9.5,
10380,"Adrian, MI",1,2019,12019,,,,.2841762006282806,.0401737205684185,301107,54.187447,-1.2860708,11.3,
10380,"Adrian, MI",1,2020,12020,,,,.2708554565906525,.0488427840173244,301107,54.187447,-1.2860708,11.4,
10380,"Adrian, MI",12,2019,122019,,,,.2687410414218903,.0431338883936405,301107,54.187447,-1.2860708,11.6,
10380,"Adrian, MI",2,2020,22020,,,,.3074346780776978,.0473627001047134,301107,54.187447,-1.2860708,11.5,
10380,"Adrian, MI",4,2019,42019,,,,.3055317103862763,.0414423644542694,301107,54.187447,-1.2860708,11.2,
10380,"Adrian, MI",5,2020,52020,,,,.3171609342098236,.0441910922527313,301107,54.187447,-1.2860708,11.4,
10380,"Adrian, MI",6,2020,62020,,,,.3300588130950928,.0405966006219387,301107,54.187447,-1.2860708,11,
10380,"Adrian, MI",7,2020,72020,,,,.3645236492156982,.0384821929037571,301107,54.187447,-1.2860708,10.3,
10380,"Adrian, MI",8,2019,82019,,,,.2843876481056213,.0469398200511932,301107,54.187447,-1.2860708,10.2,
10380,"Adrian, MI",8,2020,82020,,,,.4070232212543488,.0380593128502369,301107,54.187447,-1.2860708,9.9,
10380,"Adrian, MI",9,2019,92019,,,,.280793160200119,.0418652445077896,301107,54.187447,-1.2860708,10.4,
10380,"Adrian, MI",9,2020,92020,,,,.4078689813613892,.038270752876997,301107,54.187447,-1.2860708,9.800000000000001,
10420,"Akron, OH",10,2019,102019,3.6510811,,,4.195095062255859,.943376898765564,703845,55.579983,-1.5750071,4.3,5536
10420,"Akron, OH",10,2020,102020,,,,4.246700286865234,.8358476758003235,703845,55.579983,-1.5750071,6.4,5536
10420,"Akron, OH",11,2018,112018,,,,4.072329044342041,.8912797960453294,703845,55.579983,-1.5750071,4.6,5536
10420,"Akron, OH",11,2019,112019,3.6510811,,,4.184450149536133,.9483921527862549,703845,55.579983,-1.5750071,4.2,5536
10420,"Akron, OH",11,2020,112020,,,,4.239583015441895,.7658069133758545,703845,55.579983,-1.5750071,5.8,5536
10420,"Akron, OH",1,2019,12019,2.5366545,,,4.201747894287109,.9166631102561951,703845,55.579983,-1.5750071,4.4,5536
10420,"Akron, OH",1,2020,12020,3.9334311,,,4.190386772155762,1.018298506736755,703845,55.579983,-1.5750071,4.3,5536
10420,"Akron, OH",12,2019,122019,3.6510811,,,4.177899837493897,.9773577451705933,703845,55.579983,-1.5750071,4.2,5536
